Year	Age	G	PA	AB	R	H	2B	3B	HR	RBI	BB	SO	BA	OBP	SLG	OPS
1995	21	15	51	48	5	12	4	1	0	7	3	11	0.25	0.294	0.375	0.669
1996	22	157	654	582	104	183	25	6	10	78	48	102	0.314	0.37	0.43	0.8
1997	23	159	748	654	116	190	31	7	10	70	74	125	0.291	0.37	0.405	0.775
1998	24	149	694	626	127	203	25	8	19	84	57	119	0.324	0.384	0.481	0.864
1999	25	158	739	627	134	219	37	9	24	102	91	116	0.349	0.438	0.552	0.989
2000	26	148	679	593	119	201	31	4	15	73	68	99	0.339	0.416	0.481	0.896
2001	27	150	686	614	110	191	35	3	21	74	56	99	0.311	0.377	0.48	0.858
2002	28	157	730	644	124	191	26	0	18	75	73	114	0.297	0.373	0.421	0.794
2003	29	119	542	482	87	156	25	3	10	52	43	88	0.324	0.393	0.45	0.844
2004	30	154	721	643	111	188	44	1	23	78	46	99	0.292	0.352	0.471	0.823
2005	31	159	752	654	122	202	25	5	19	70	77	117	0.309	0.389	0.45	0.839
2006	32	154	715	623	118	214	39	3	14	97	69	102	0.343	0.417	0.483	0.9
2007	33	156	714	639	102	206	39	4	12	73	56	100	0.322	0.388	0.452	0.84
2008	34	150	668	596	88	179	25	3	11	69	52	85	0.3	0.363	0.408	0.771
2009	35	153	716	634	107	212	27	1	18	66	72	90	0.334	0.406	0.465	0.871
2010	36	157	739	663	111	179	30	3	10	67	63	106	0.27	0.34	0.37	0.71
2011	37	131	607	546	84	162	24	4	6	61	46	81	0.297	0.355	0.388	0.743
2012	38	159	740	683	99	216	32	0	15	58	45	90	0.316	0.362	0.429	0.791
2013	39	17	73	63	8	12	1	0	1	7	8	10	0.19	0.288	0.254	0.542
2014	40	145	634	581	47	149	19	1	4	50	35	87	0.256	0.304	0.313	0.617
