teamID	yearID	HomeRun.Rate	Triples.Rate
WS1	1916	0.0023	0.0117
CHN	1983	0.0254	0.0076
ATL	1982	0.0265	0.004
CLE	1983	0.0157	0.0057
SDN	2003	0.0231	0.0058
SDN	1984	0.0198	0.0076
CIN	1902	0.0037	0.0157
PHA	1934	0.0271	0.0094
BAL	1987	0.0378	0.0036
PIT	1972	0.02	0.0086
MON	1989	0.0182	0.0055
PIT	1975	0.0251	0.0086
BOS	1942	0.0196	0.0105
LAN	2008	0.0249	0.0053
DET	1943	0.0144	0.0088
NYA	2001	0.0364	0.0036
NY1	1942	0.0209	0.0067
NYA	1939	0.0313	0.0104
PHI	1927	0.0107	0.0087
DET	1934	0.0135	0.0097
WS1	1946	0.0112	0.0118
SLA	1944	0.0137	0.0085
NY1	1923	0.0156	0.0139
SLN	1906	0.002	0.0136
CLE	1932	0.0144	0.0137
CHN	1999	0.0345	0.0064
ML4	1973	0.0262	0.0072
HOU	2007	0.0298	0.0054
SDN	2000	0.0282	0.0067
PIT	1907	0.0038	0.0157
