teamID	R	G	R.G	AVG	OBP	SLG	OPS	RC	TA	BRA
BAL	705	162	4.35	0.256	0.311	0.422	0.733	723	0.664	0.131
BOS	634	162	3.91	0.244	0.316	0.369	0.685	635	0.615	0.117
CHA	660	162	4.07	0.253	0.31	0.398	0.708	673	0.634	0.123
CLE	669	162	4.13	0.253	0.317	0.389	0.706	683	0.641	0.123
DET	757	162	4.67	0.277	0.331	0.426	0.757	790	0.698	0.141
HOU	629	162	3.88	0.242	0.309	0.383	0.692	636	0.624	0.118
KCA	651	162	4.02	0.263	0.314	0.376	0.69	646	0.603	0.118
LAA	773	162	4.77	0.259	0.322	0.406	0.728	731	0.665	0.131
MIN	715	162	4.41	0.254	0.324	0.389	0.713	693	0.652	0.126
NYA	633	162	3.91	0.245	0.307	0.38	0.687	632	0.613	0.117
OAK	729	162	4.5	0.244	0.32	0.381	0.701	668	0.644	0.122
SEA	634	162	3.91	0.244	0.3	0.376	0.676	604	0.593	0.113
TBA	612	162	3.78	0.247	0.317	0.367	0.684	632	0.614	0.116
TEX	637	162	3.93	0.256	0.314	0.375	0.689	633	0.607	0.118
TOR	723	162	4.46	0.259	0.323	0.414	0.737	735	0.68	0.134
