teamID	W	L	R	RA
ARI	64	98	615	742
ATL	79	83	573	597
BAL	96	66	705	593
BOS	71	91	634	715
CHA	73	89	660	758
CHN	73	89	614	707
CIN	76	86	595	612
CLE	85	77	669	653
COL	66	96	755	818
DET	90	72	757	705
HOU	70	92	629	723
KCA	89	73	651	624
LAA	98	64	773	630
LAN	94	68	718	617
MIA	77	85	645	674
MIL	82	80	650	657
MIN	70	92	715	777
NYA	84	78	633	664
NYN	79	83	629	618
OAK	88	74	729	572
PHI	73	89	619	687
PIT	88	74	682	631
SDN	77	85	535	577
SEA	87	75	634	554
SFN	88	74	665	614
SLN	90	72	619	603
TBA	77	85	612	625
TEX	67	95	637	773
TOR	83	79	723	686
WAS	96	66	686	555
