Name	SLG.2013	SLG.2014	Improvement
Domonic_Brown	0.494	0.349	-0.145
Melky_Cabrera	0.36	0.458	0.098
Miguel_Cabrera	0.636	0.524	-0.112
Alberto_Callaspo	0.369	0.29	-0.079
Zack_Cozart	0.381	0.3	-0.081
Chris_Davis	0.634	0.404	-0.23
Matt_Dominguez	0.403	0.33	-0.073
Brian_Dozier	0.414	0.416	0.002
Conor_Gillaspie	0.39	0.416	0.026
Alex_Gordon	0.422	0.432	0.01
Chase_Headley	0.4	0.372	-0.028
Aaron_Hill	0.462	0.367	-0.095
Matt_Holliday	0.49	0.441	-0.049
Brandon_Moss	0.522	0.438	-0.084
Albert_Pujols	0.437	0.466	0.029
Pablo_Sandoval	0.417	0.415	-0.002
Denard_Span	0.38	0.416	0.036
Ichiro_Suzuki	0.342	0.34	-0.002
Mark_Trumbo	0.453	0.415	-0.038
Jayson_Werth	0.532	0.455	-0.077
