Player	AB	H	BB	HBP	SF	OBP
Jose_Abreu	556	176	51	11	4	0.383
Dustin_Ackley	502	123	32	3	2	0.293
Matt_Adams	527	152	26	3	7	0.321
Jose_Altuve	660	225	36	5	5	0.377
Pedro_Alvarez	398	92	45	2	0	0.312
Alexi_Amarista	423	101	29	1	5	0.286
Elvis_Andrus	619	163	46	3	7	0.314
Nori_Aoki	491	140	43	6	1	0.349
Oswaldo_Arcia	372	86	31	6	1	0.3
Nolan_Arenado	432	124	25	4	5	0.328
Cody_Asche	397	100	33	0	1	0.309
Alex_Avila	390	85	61	3	2	0.327
Mike_Aviles	344	85	13	1	5	0.273
Erick_Aybar	589	164	36	5	8	0.321
Jose_Bautista	553	158	104	9	6	0.403
Gordon_Beckham	446	101	22	7	5	0.271
Adrian_Beltre	549	178	57	3	5	0.388
Carlos_Beltran	403	94	37	4	5	0.301
Charlie_Blackmon	593	171	31	13	5	0.335
Gregor_Blanco	393	102	41	3	1	0.333
Xander_Bogaerts	538	129	39	8	7	0.297
Emilio_Bonifacio	394	102	26	0	0	0.305
Michael_Bourn	444	114	35	3	2	0.314
Jackie_Bradley	384	76	31	5	2	0.265
Michael_Brantley	611	200	52	8	5	0.385
Ryan_Braun	530	141	41	6	3	0.324
Domonic_Brown	473	111	34	1	4	0.285
Jay_Bruce	493	107	44	2	5	0.281
Billy_Butler	549	149	41	5	8	0.323
Marlon_Byrd	591	156	35	8	3	0.312
Asdrubal_Cabrera	553	133	49	7	6	0.307
Everth_Cabrera	357	83	20	1	4	0.272
Melky_Cabrera	568	171	43	3	5	0.351
Miguel_Cabrera	611	191	60	3	11	0.371
Lorenzo_Cain	471	142	24	4	3	0.339
Kole_Calhoun	493	134	38	2	2	0.325
Alberto_Callaspo	404	90	40	1	6	0.29
Robinson_Cano	595	187	61	6	3	0.382
Matt_Carpenter	595	162	95	8	9	0.375
Chris_Carter	507	115	56	5	4	0.308
Nick_Castellanos	533	138	36	3	7	0.306
Welington_Castillo	380	90	26	7	2	0.296
Jason_Castro	465	103	34	9	3	0.286
Starlin_Castro	528	154	35	4	2	0.339
Yoenis_Cespedes	600	156	35	3	7	0.301
Robinson_Chirinos	306	73	17	7	4	0.29
Lonnie_Chisenhall	478	134	39	8	3	0.343
Shin-Soo_Choo	455	110	58	12	4	0.34
Chris_Coghlan	385	109	39	3	2	0.352
Zack_Cozart	506	112	25	7	0	0.268
Allen_Craig	461	99	35	7	2	0.279
Brandon_Crawford	491	121	59	2	10	0.324
Carl_Crawford	343	103	16	6	4	0.339
Coco_Crisp	463	114	66	0	6	0.336
Nelson_Cruz	613	166	55	5	5	0.333
Travis_d'Arnaud	385	93	32	2	1	0.302
Chris_Davis	450	88	60	9	5	0.3
Ike_Davis	360	84	63	0	4	0.344
Khris_Davis	501	122	32	10	6	0.299
Rajai_Davis	461	130	22	5	3	0.32
Alejandro_De_Aza	477	120	39	6	3	0.314
Chris_Denorfia	330	76	25	0	1	0.284
Ian_Desmond	593	151	46	6	3	0.313
Corey_Dickerson	436	136	37	1	4	0.364
Matt_Dominguez	564	121	29	5	7	0.256
Josh_Donaldson	608	155	76	7	4	0.342
Brian_Dozier	598	145	89	9	8	0.345
Lucas_Duda	514	130	69	9	4	0.349
Adam_Dunn	429	94	71	7	4	0.337
Adam_Eaton	486	146	43	5	2	0.362
Jacoby_Ellsbury	575	156	49	3	7	0.328
Edwin_Encarnacion	477	128	62	2	1	0.354
Alcides_Escobar	579	165	23	6	4	0.317
Eduardo_Escobar	433	119	24	2	2	0.315
Yunel_Escobar	476	123	43	4	2	0.324
Danny_Espinosa	333	73	18	12	1	0.283
Andre_Ethier	341	85	31	6	1	0.322
Tyler_Flowers	407	98	25	8	1	0.297
Logan_Forsythe	301	67	25	4	4	0.287
Dexter_Fowler	434	120	66	3	1	0.375
Todd_Frazier	597	163	52	7	4	0.336
Freddie_Freeman	607	175	90	8	3	0.386
David_Freese	462	120	38	6	5	0.321
Sam_Fuld	351	84	43	0	2	0.321
Brett_Gardner	555	142	56	6	6	0.327
Evan_Gattis	369	97	22	8	2	0.317
Scooter_Gennett	440	127	22	0	4	0.32
Conor_Gillaspie	464	131	36	3	3	0.336
Paul_Goldschmidt	406	122	64	2	3	0.396
Yan_Gomes	485	135	24	3	6	0.313
Carlos_Gomez	574	163	47	19	3	0.356
Adrian_Gonzalez	591	163	56	2	11	0.335
Alex_Gordon	563	150	65	11	4	0.351
Dee_Gordon	609	176	31	4	3	0.326
Curtis_Granderson	564	128	79	6	5	0.326
Yasmani_Grandal	377	85	58	2	6	0.327
Robbie_Grossman	360	84	55	2	2	0.337
Jedd_Gyorko	400	84	36	4	3	0.28
Billy_Hamilton	563	141	34	1	4	0.292
Josh_Hamilton	338	89	32	5	6	0.331
J._J._Hardy	529	142	29	4	4	0.309
Bryce_Harper	352	96	38	1	1	0.344
Josh_Harrison	520	164	22	4	2	0.347
Chase_Headley	470	114	51	9	1	0.328
Adeiny_Hechavarria	536	148	26	1	6	0.308
Jason_Heyward	573	155	67	6	3	0.351
Aaron_Hill	501	122	28	5	7	0.287
Matt_Holliday	574	156	74	17	2	0.37
Brock_Holt	449	126	33	2	3	0.331
Eric_Hosmer	503	136	35	3	6	0.318
Ryan_Howard	569	127	67	7	5	0.31
Torii_Hunter	549	157	23	7	7	0.319
Chris_Iannetta	306	77	54	8	5	0.373
Ender_Inciarte	418	116	25	0	0	0.318
Omar_Infante	528	133	33	2	7	0.295
Austin_Jackson	597	153	47	2	9	0.308
John_Jaso	307	81	28	7	2	0.337
Jon_Jay	413	125	28	20	4	0.372
Desmond_Jennings	479	117	47	6	1	0.319
Derek_Jeter	581	149	35	6	4	0.304
Chris_Johnson	582	153	23	2	2	0.292
Adam_Jones	644	181	19	12	7	0.311
Garrett_Jones	496	122	46	1	4	0.309
James_Jones	312	78	12	0	0	0.278
Matthew_Joyce	418	106	62	4	9	0.349
Matt_Kemp	541	155	52	0	6	0.346
Howie_Kendrick	617	181	48	4	2	0.347
Kevin_Kiermaier	331	87	23	3	2	0.315
Ian_Kinsler	684	188	29	5	5	0.307
Jason_Kipnis	500	120	50	2	2	0.31
Juan_Lagares	416	117	20	7	6	0.321
Junior_Lake	308	65	14	1	2	0.246
Adam_LaRoche	494	128	82	2	8	0.362
Tommy_La_Stella	319	80	36	1	1	0.328
DJ_LeMahieu	494	132	33	2	2	0.315
James_Loney	600	174	41	4	6	0.336
Evan_Longoria	624	158	57	9	9	0.32
Jed_Lowrie	502	125	51	5	6	0.321
Jonathan_Lucroy	585	176	66	2	2	0.373
Ryan_Ludwick	357	87	31	4	4	0.308
Manny_Machado	327	91	20	3	2	0.324
Nick_Markakis	642	177	62	4	2	0.342
Starling_Marte	495	144	33	17	0	0.356
J._D._Martinez	441	139	30	3	6	0.358
Leonys_Martin	533	146	39	2	2	0.325
Russell_Martin	379	110	59	15	5	0.402
Victor_Martinez	561	188	70	4	6	0.409
Joe_Mauer	455	126	60	1	2	0.361
Brian_McCann	495	115	32	7	4	0.286
Andrew_McCutchen	548	172	84	10	6	0.41
Casey_McGehee	616	177	67	1	7	0.355
Jordy_Mercer	506	129	35	4	5	0.305
Devin_Mesoraco	384	105	41	12	3	0.359
Brad_Miller	367	81	34	2	3	0.288
Yadier_Molina	404	114	28	6	6	0.333
Miguel_Montero	489	119	56	9	6	0.329
Kendrys_Morales	367	80	27	3	4	0.274
Justin_Morneau	502	160	34	6	8	0.364
Logan_Morrison	336	88	24	3	2	0.315
Mike_Morse	438	122	31	9	4	0.336
Brandon_Moss	500	117	67	10	3	0.334
Mike_Moustakas	457	97	35	3	4	0.271
David_Murphy	416	109	36	2	7	0.319
Daniel_Murphy	596	172	39	2	5	0.332
Wil_Myers	325	72	34	0	2	0.294
Mike_Napoli	415	103	78	4	3	0.37
Daniel_Nava	363	98	33	10	2	0.346
Dioner_Navarro	481	132	32	1	6	0.317
Derek_Norris	385	104	54	1	1	0.361
Rougned_Odor	386	100	17	5	3	0.297
David_Ortiz	518	136	75	3	6	0.355
Chris_Owings	310	81	16	2	2	0.3
Marcell_Ozuna	565	152	41	1	5	0.317
Angel_Pagan	383	115	25	1	3	0.342
Gerardo_Parra	529	138	32	5	2	0.308
Steve_Pearce	338	99	40	4	1	0.373
Dustin_Pedroia	551	153	51	1	6	0.337
Brayan_Pena	348	88	20	0	3	0.291
Hunter_Pence	650	180	52	3	3	0.332
David_Peralta	329	94	16	1	1	0.32
Jhonny_Peralta	560	147	58	6	4	0.336
Salvador_Perez	578	150	22	3	3	0.289
Brandon_Phillips	462	123	23	6	6	0.306
A._J._Pierzynski	338	85	14	5	4	0.288
Trevor_Plouffe	520	134	53	4	5	0.328
Buster_Posey	547	170	47	3	8	0.364
Martin_Prado	536	151	26	7	4	0.321
Yasiel_Puig	558	165	67	12	1	0.382
Albert_Pujols	633	172	48	5	9	0.324
Alexei_Ramirez	622	170	24	6	4	0.305
Aramis_Ramirez	494	141	21	13	3	0.33
Hanley_Ramirez	449	127	56	6	1	0.369
Wilson_Ramos	341	91	17	0	3	0.299
Colby_Rasmus	346	78	29	1	0	0.287
Josh_Reddick	363	96	28	1	3	0.316
Anthony_Rendon	613	176	58	5	5	0.351
Ben_Revere	601	184	13	4	1	0.325
Jose_Reyes	610	175	38	1	4	0.328
Mark_Reynolds	378	74	47	3	4	0.287
Alex_Rios	492	138	23	1	5	0.311
Anthony_Rizzo	524	150	73	15	4	0.386
Brian_Roberts	317	75	28	1	1	0.3
Jimmy_Rollins	538	131	64	1	3	0.323
Wilin_Rosario	382	102	23	0	5	0.305
Carlos_Ruiz	381	96	46	12	5	0.347
Josh_Rutledge	309	83	20	6	2	0.323
Jarrod_Saltalamacchia	373	82	55	2	5	0.32
Pablo_Sandoval	588	164	39	4	7	0.324
Carlos_Santana	541	125	113	3	3	0.365
Danny_Santana	405	129	19	3	1	0.353
Nate_Schierholtz	353	69	20	4	6	0.243
Jonathan_Schoop	455	95	13	8	0	0.244
Kyle_Seager	590	158	52	8	3	0.334
Jean_Segura	513	126	28	4	2	0.289
Andrelton_Simmons	540	132	32	0	2	0.286
Jon_Singleton	310	52	50	1	1	0.285
Grady_Sizemore	347	81	33	0	1	0.299
Seth_Smith	443	118	69	4	4	0.367
Travis_Snider	322	85	34	2	0	0.338
Donovan_Solano	310	78	19	3	1	0.3
Yangervis_Solarte	469	122	53	4	6	0.336
Denard_Span	610	184	50	2	3	0.355
Giancarlo_Stanton	539	155	94	3	2	0.395
Drew_Stubbs	388	112	30	1	3	0.339
Ichiro_Suzuki	359	102	21	1	2	0.324
Kurt_Suzuki	452	130	34	9	7	0.345
Nick_Swisher	360	75	36	0	4	0.278
Mark_Teixeira	440	95	58	6	4	0.313
Ruben_Tejada	355	84	50	8	2	0.342
Mike_Trout	602	173	83	10	10	0.377
Mark_Trumbo	328	77	28	1	5	0.293
Troy_Tulowitzki	315	107	50	5	5	0.432
Melvin_Upton	519	108	57	1	2	0.287
Justin_Upton	566	153	60	6	8	0.342
Juan_Uribe	386	120	15	1	2	0.337
Chase_Utley	589	159	53	13	9	0.339
Luis_Valbuena	478	119	65	2	1	0.341
Will_Venable	406	91	33	4	2	0.288
Dayan_Viciedo	523	121	32	5	3	0.281
Neil_Walker	512	139	45	11	2	0.342
Jayson_Werth	534	156	83	9	3	0.394
Kolten_Wong	402	100	21	4	1	0.292
David_Wright	535	144	42	4	5	0.324
Christian_Yelich	582	165	70	3	2	0.362
Chris_Young	325	72	32	5	3	0.299
Ben_Zobrist	570	155	75	1	6	0.354
Mike_Zunino	438	87	17	17	4	0.254
