Date	AB	H
3310	4	2
4021	3	1
4022	4	1
4040	4	1
4050	4	1
4060	5	3
4080	4	0
4091	3	1
4092	3	0
4100	4	1
4110	4	1
4120	3	1
4130	3	1
4160	3	0
4170	5	2
4180	5	1
4190	3	0
4200	3	2
4210	4	1
4220	4	2
4230	3	1
4240	3	1
4250	4	0
4260	3	0
4270	3	0
4280	4	0
4290	3	1
5020	5	3
5030	4	1
5040	5	1
5050	4	1
5060	3	1
5070	4	2
5080	5	3
5090	5	1
5100	3	1
5110	4	1
5130	4	0
5140	3	1
5160	4	1
5170	3	1
5180	3	2
5190	4	2
5200	4	1
5210	7	4
5220	6	2
5230	4	1
5240	3	1
5250	4	1
5260	3	2
5270	4	1
5280	4	2
5300	4	1
5310	4	0
6010	4	2
6020	3	0
6030	4	1
6040	5	3
6060	4	1
6070	5	1
6080	5	0
6090	3	3
6100	3	1
6110	4	2
6120	4	2
6130	4	2
6140	4	2
6150	4	2
6160	2	1
6200	1	1
6210	5	0
6220	5	3
6240	5	1
6250	4	2
6270	3	0
6280	4	1
6290	3	0
6300	3	0
7010	5	2
7020	4	0
7040	4	2
7050	5	3
7060	4	2
7070	4	2
7080	4	3
7090	6	1
7100	4	2
7110	4	1
7120	4	1
7130	4	0
7180	5	4
7191	5	1
7192	4	2
7200	3	0
7210	1	1
7220	4	0
7230	4	0
7240	6	0
7250	4	1
7260	5	2
7270	4	2
7290	3	0
7300	3	0
7310	3	2
8010	4	3
8020	4	2
8030	6	2
8040	4	2
8050	4	1
8060	3	0
8070	4	1
8080	3	1
8090	4	3
8100	3	1
8131	4	1
8132	5	2
8150	4	0
8160	4	1
8170	3	0
8190	3	1
8200	4	0
8210	4	0
8220	4	0
8230	4	1
8260	4	1
8270	4	0
8280	4	1
8290	5	3
8300	5	2
8310	5	1
9010	3	1
9020	4	2
9030	4	1
9040	5	2
9050	4	1
9060	4	3
9070	3	2
9080	4	1
9090	3	0
9111	3	2
9112	3	1
9120	4	2
9130	4	2
9140	4	2
9150	4	2
9160	4	1
9170	4	2
9180	5	1
9190	5	2
9200	4	2
9210	5	3
9220	3	1
9230	4	2
9240	4	3
9260	3	0
9270	4	1
