Pitcher	Birthyear	ERA
Grover_Cleveland_Alexander	1887	2.56
Charles_Chief_Bender	1884	2.46
Mordecai_Three_Finger_Brown	1876	2.06
Jim_Bunning	1931	3.27
Steve_Carlton	1944	3.22
Jack_Chesbro	1874	2.68
John_Clarkson	1861	2.81
Stan_Coveleski	1889	2.89
W.A._Candy_Cummings	1848	2.78
Jay_Hanna_Dizzy_Dean	1911	3.02
Don_Drysdale	1936	2.95
Urban_Red_Faber	1888	3.15
Bob_Feller	1918	3.25
Rollie_Fingers	1946	2.9
Edward_Whitey_Ford	1928	2.75
Rube_Foster	1888	2.36
James_Pud_Galvin	1856	2.87
Bob_Gibson	1935	2.91
Vernon_Lefty_Gomez	1908	3.34
Burleigh_Grimes	1893	3.53
Robert_Lefty_Grove	1900	3.06
Jesse_Pop_Haines	1878	3.64
Waite_Hoyt	1899	3.59
Carl_Hubbell	1903	2.98
Jim_Catfish_Hunter	1946	3.26
Ferguson_Jenkins	1943	3.34
Walter_Johnson	1887	2.16
Addie_Joss	1880	1.89
Tim_Keefe	1857	2.62
Sandy_Koufax	1935	2.76
Bob_Lemon	1920	3.23
Juan_Marichal	1937	2.89
Richard_Rube_Marquard	1889	3.08
Christy_Mathewson	1880	2.13
Joe_McGinnity	1871	2.66
Hal_Newhouser	1921	3.06
Charles_Kid_Nichols	1869	2.95
Phil_Niekro	1939	3.35
Jim_Palmer	1945	2.86
Herb_Pennock	1894	3.6
Gaylord_Perry	1938	3.11
Eddie_Plank	1875	2.35
Eppa_Rixey	1891	3.15
Robin_Roberts	1926	3.41
Amos_Rusie	1871	3.07
Nolan_Ryan	1947	3.17
Tom_Seaver	1944	2.86
Warren_Spahn	1921	3.09
Don_Sutton	1945	3.26
A.C._Dazzy_Vance	1891	3.24
George_Rube_Waddell	1876	2.16
Ed_Walsh	1881	1.82
Mickey_Welch	1859	2.71
Hoyt_Wilhelm	1923	2.52
Vic_Willis	1876	2.63
Early_Wynn	1920	3.54
Denton_Cy_Young	1867	2.63
