Player	Salary
Freddie_Freeman	8500000
Andrelton_Simmons	3000000
Nick_Markakis	11000000
Julio_Teheran	1000000
Trevor_Cahill	12000000
Cameron_Maybin	7000000
Chris_Johnson	6000000
Juan_Uribe	6500000
Jason_Grilli	4250000
Mike_Minor	5600000
Jonny_Gomes	4000000
A.J._Pierzynski	2000000
Jim_Johnson	1600000
Kelly_Johnson	1500000
Eric_Young	1000000
Josh_Outman	925000
Shelby_Miller	535000
Luis_Avilan	530000
Chris_Withrow	522500
Alex_Wood	520000
Shae_Simmons	508750
Mike_Foltynewicz	508750
Joey_Terdoslavich	507500
Philip_Gosselin	507500
Christian_Bethancourt	507500
Jace_Peterson	507500
Todd_Cunningham	507500
