Season	Pull	Cent	Oppo	Soft	Med	Hard
2002	0.474	0.265	0.261	0.126	0.601	0.273
2003	0.508	0.258	0.234	0.142	0.526	0.332
2004	0.49	0.277	0.233	0.097	0.552	0.352
2005	0.469	0.285	0.246	0.127	0.484	0.389
2006	0.453	0.34	0.207	0.078	0.58	0.342
2007	0.404	0.373	0.223	0.136	0.464	0.4
2008	0.475	0.318	0.207	0.155	0.416	0.429
2009	0.496	0.342	0.162	0.137	0.457	0.406
2010	0.507	0.348	0.145	0.161	0.416	0.424
2011	0.422	0.4	0.178	0.206	0.489	0.305
2012	0.52	0.317	0.164	0.142	0.523	0.335
2013	0.431	0.42	0.149	0.12	0.519	0.362
2014	0.51	0.298	0.193	0.145	0.494	0.361
2015	0.46	0.347	0.193	0.151	0.51	0.338
