Name	Position	League	G	AB	R	H	X2B	X3B	HR	SO	BB	AVG	OBP	SLG
Johnny_Bench	Catcher	NL	2158	7658	1091	2048	381	24	389	1278	891	0.267	0.342	0.476
Yogi_Berra	Catcher	AL	2120	7555	1175	2150	321	49	358	414	704	0.285	0.348	0.482
Lou_Gehrig	First_Base	AL	2164	8001	1888	2721	534	163	493	790	1508	0.34	0.447	0.632
Mark_McGwire	First_Base	NL	1745	5830	1109	1553	247	6	547	1461	1247	0.266	0.397	0.592
Jackie_Robinson	Second_Base	NL	1382	4877	947	1518	273	54	137	291	740	0.311	0.409	0.474
Eddie_Collins_	Second_Base	AL	2826	9949	1821	3315	438	187	47	286	1499	0.333	0.424	0.429
"Cal_Ripken,_Jr."	Shortstop	AL	2848	10982	1592	3046	580	44	415	1228	1095	0.277	0.343	0.452
Honus_Wagner	Shortstop	NL	2792	10430	1736	3415	640	252	101	327	963	0.327	0.391	0.466
Mike_Schmidt	Third_Base	NL	2404	8352	1506	2234	408	59	548	1883	1507	0.267	0.38	0.527
Brooks_Robinson	Third_Base	AL	2896	10654	1232	2848	482	68	268	990	886	0.267	0.322	0.401
Babe_Ruth	Outfielder	AL	2503	8399	2174	2873	506	136	714	1330	2062	0.342	0.474	0.69
Ted_Williams	Outfielder	AL	2292	7706	1798	2654	525	71	521	709	2019	0.344	0.482	0.634
Willie_Mays	Outfielder	NL	2992	10881	2062	3283	523	140	660	1526	1464	0.302	0.384	0.557
Hank_Aaron	Outfielder	NL	3298	12364	2174	3771	624	98	755	1383	1402	0.305	0.374	0.555
Joe_DiMaggio	Outfielder	AL	1736	6821	1390	2214	389	131	361	369	790	0.325	0.398	0.579
Mickey_Mantle	Outfielder	AL	2401	8102	1677	2415	344	72	536	1710	1733	0.298	0.421	0.557
Pete_Rose	Outfielder	NL	3562	14053	2165	4256	746	135	160	1143	1566	0.303	0.375	0.409
Stan_Musial_	Outfielder	NL	3026	10972	1949	3630	725	177	475	696	1599	0.331	0.417	0.559
