Name	AB_Pre	H_Pre	AVG_Pre	AB_Post	H_Post	AVG_Post
David_Ortiz	296	74	0.25	222	62	0.279
Daniel_Murphy	340	103	0.303	256	69	0.27
Jose_Abreu	272	76	0.279	284	100	0.352
Evan_Longoria	332	87	0.262	292	71	0.243
Khris_Davis	290	75	0.259	211	47	0.223
Christian_Yelich	255	66	0.259	327	99	0.303
Marlon_Byrd	310	83	0.268	281	73	0.26
Xander_Bogaerts	290	72	0.248	248	57	0.23
Marcell_Ozuna	291	77	0.265	274	75	0.274
Todd_Frazier	310	89	0.287	287	74	0.258
Matt_Carpenter	317	89	0.281	278	73	0.263
Andrelton_Simmons	291	72	0.247	249	60	0.241
Zack_Cozart	276	63	0.228	230	49	0.213
Martin_Prado	314	84	0.268	222	67	0.302
Jacoby_Ellsbury	302	87	0.288	273	69	0.253
