Name	AB_Ball	H_Ball	AVG_Ball	AB_Strike	H_Strike	AVG_Strike
David_Ortiz	255	64	0.251	207	53	0.256
Daniel_Murphy	304	76	0.25	206	67	0.325
Jose_Abreu	263	78	0.297	208	67	0.322
Evan_Longoria	324	70	0.216	205	56	0.273
Khris_Davis	244	49	0.201	199	53	0.266
Christian_Yelich	306	64	0.209	223	79	0.354
Marlon_Byrd	315	78	0.248	201	48	0.239
Xander_Bogaerts	301	65	0.216	194	50	0.258
Marcell_Ozuna	298	74	0.248	195	57	0.292
Todd_Frazier	293	67	0.229	226	70	0.31
Matt_Carpenter	341	93	0.273	226	60	0.265
Andrelton_Simmons	244	63	0.258	198	46	0.232
Zack_Cozart	261	58	0.222	184	39	0.212
Martin_Prado	307	89	0.29	199	52	0.261
Jacoby_Ellsbury	264	64	0.242	226	67	0.296
