NAME	SP_AB	SP_H	SP_AVG	U_AB	U_H	U_AVG
Larry	300	89	0.297	300	81	0.27
Moe	300	90	0.3	300	98	0.327
Curly	300	85	0.283	300	79	0.263
Harold	300	95	0.317	300	74	0.247
Harvey	300	72	0.24	300	85	0.283
Lee	300	74	0.247	300	97	0.323
Charles	300	72	0.24	300	81	0.27
Bill	300	77	0.257	300	105	0.35
Bob	300	83	0.277	300	101	0.337
Rick	300	81	0.27	300	78	0.26
Britt	300	89	0.297	300	94	0.313
Clark	300	86	0.287	300	99	0.33
Randy	300	85	0.283	300	91	0.303
Tom	300	86	0.287	300	75	0.25
Gene	300	87	0.29	300	102	0.34
