Name	AB_Home	H_Home	AVG_Home	AB_Away	H_Away	AVG_Away
David_Ortiz	250	67	0.268	268	69	0.257
Daniel_Murphy	276	69	0.25	320	103	0.322
Longoria	303	79	0.261	321	79	0.246
Khris_Davis	243	57	0.235	258	65	0.252
Christian_Yelich	273	81	0.297	309	84	0.272
Marlon_Byrd	299	78	0.261	292	78	0.267
Xander_Bogaerts	255	66	0.259	283	63	0.223
Ozuna	278	80	0.288	287	72	0.251
Todd_Frazier	299	85	0.284	298	78	0.262
Matt_Carpenter	287	68	0.237	308	94	0.305
Andrelton_Simmons	261	69	0.264	279	63	0.226
Zach_Cozart	255	60	0.235	251	52	0.207
Martin_Prado	261	73	0.28	275	78	0.284
Jacoby_Ellsbury	264	80	0.303	311	76	0.244
