Pitcher	Throws	Left_AVG	Right_AVG	X1.15_AVG	X46.60_AVG	X91.105_AVG
John_Smoltz	Right	0.252	0.227	0.293	0.216	0.26
Alan_Ashby	Right	0.271	0.25	0.266	0.279	0.284
Alex_Fernandez	Right	0.284	0.203	0.283	0.212	0.208
Andy_Pettite	Right	0.295	0.266	0.255	0.287	0.302
Bartolo_Colon	Right	0.267	0.248	0.248	0.282	0.219
Chuck_Finley	Left	0.236	0.249	0.226	0.294	0.254
Charles_Nagy	Right	0.291	0.291	0.294	0.298	0.272
David_Cone	Right	0.237	0.219	0.212	0.26	0.273
Doug_Drabek	Left	0.282	0.292	0.26	0.261	0.254
Darryl_Kile	Right	0.284	0.251	0.299	0.296	0.267
Greg_Maddux	Right	0.244	0.254	0.284	0.245	0.216
Kevin_Brown	Right	0.249	0.216	0.259	0.264	0.221
Randy_Johnson	Left	0.178	0.213	0.216	0.221	0.258
Curt_Schilling	Right	0.244	0.22	0.25	0.21	0.232
Tom_Glavine	Left	0.25	0.251	0.283	0.256	0.224
Terry_Mulholland	Left	0.273	0.27	0.253	0.269	0.266
Pedro_Martinez	Right	0.21	0.193	0.171	0.204	0.221
Todd_Stottlemyre	Right	0.279	0.216	0.259	0.242	0.3
Wilson_Alvarez	Right	0.258	0.238	0.291	0.244	0.224
Mike_Mussina	Left	0.244	0.251	0.257	0.246	0.238
